,Provisioned Capacity (GW),Expansion Descriptor,Dispatch Cost ($/day),Congestion Metric,DC Investment Cost ($/yr),Transmission Cost ($/yr),Transmission Added (MW),Generation Cost ($/yr),Generation Added (MW),LMP Max ($)
0,0.5,single,225612.50186405974,0.04549413934969553,9.774047367722318,0.0,0.0,0.0,0.0,206.9787539493347
1,0.6,single,225846.0472851806,0.05010814241090758,11.72885684126678,0.0,0.0,0.0,0.0,216.99222074446348
2,0.7,single,226080.88595834078,0.05016405851311946,13.683666314811243,0.0,0.0,0.0,0.0,217.00862997207335
3,0.7999999999999999,single,226316.12627996088,0.051006877167025386,15.638475788355706,0.0,0.0,0.0,0.0,220.03590789175158
4,0.8999999999999999,single,226552.32573322018,0.05225715103658076,17.593285261900167,0.0,0.0,0.0,0.0,224.58382723164152
5,0.9999999999999999,single,226790.9374827706,0.05457423838619774,19.548094735444632,0.0,0.0,0.0,0.0,233.44217340770038
6,1.0999999999999999,single,227030.6808174731,0.05601277534552082,21.502904208989094,0.0,0.0,0.0,0.0,238.10449092573705
7,1.1999999999999997,single,227274.86435231793,0.06926562624809471,23.457713682533555,0.0,0.0,0.0,0.0,270.2117104136937
8,1.2999999999999998,single,227523.76766095066,0.06932188837923109,25.41252315607802,0.0,0.0,0.0,0.0,272.34871822726535
9,1.4,single,227777.11782559127,0.07540784384901561,27.367332629622485,0.0,0.0,0.0,0.0,289.8538766564903
10,1.4999999999999998,single,228037.6391234603,0.16693060045607233,29.322142103166946,0.0,0.0,0.0,0.0,540.2512428740363
11,1.5999999999999996,single,228432.3581303739,0.3633263312792836,31.276951576711404,0.0,0.0,0.0,0.0,1092.298814688284
12,1.6999999999999997,single,228876.8847709447,0.3721377943845255,33.23176105025587,0.0,0.0,0.0,0.0,1122.746982764652
13,1.7999999999999998,single,229327.47920382695,0.394035862431302,35.186570523800334,0.0,0.0,0.0,0.0,1171.1001288353043
14,1.8999999999999997,single,229917.34738455893,0.6361255673169794,37.1413799973448,0.0,0.0,0.0,0.0,1755.431051899607
15,1.9999999999999996,single,230519.45805523882,0.6364061500211853,39.09618947088926,0.0,0.0,0.0,0.0,1755.4347012209316
16,2.0999999999999996,single,231123.00699481397,0.6364775954992847,41.05099894443372,0.0,0.0,0.0,0.0,1755.4310197495272
17,2.1999999999999997,single,231729.55903682226,0.639106576039771,43.00580841797819,0.0,0.0,0.0,0.0,1763.1644197373457
18,2.3,single,232339.00852601705,0.6392047919848048,44.96061789152265,0.0,0.0,0.0,0.0,1763.5228803242683
19,2.3999999999999995,single,232949.97263375754,0.6348141022709104,46.91542736506711,0.0,0.0,0.0,0.0,1764.8425152056482
20,2.4999999999999996,single,233562.0506992238,0.6350754415804172,48.870236838611575,0.0,0.0,0.0,0.0,1765.304787890534
21,2.5999999999999996,single,234183.52021471172,0.6867721939071639,50.82504631215604,0.0,0.0,0.0,0.0,1858.4819200150466
22,2.6999999999999993,single,234818.58175324622,0.6879548273417521,52.7798557857005,0.0,0.0,0.0,0.0,1860.99440565928
23,2.7999999999999994,single,235454.19622535768,0.6879582168827026,54.73466525924496,0.0,0.0,0.0,0.0,1861.0415111681637
24,2.8999999999999995,single,236105.70840047474,0.7615723422190778,56.68947473278943,0.0,0.0,0.0,0.0,2040.1984380544218
25,2.9999999999999996,single,236786.02830151585,0.761638215245023,58.64428420633389,0.0,0.0,0.0,0.0,2040.2535955762776
26,3.0999999999999996,single,237476.958092611,0.7852383308621124,60.599093679878365,0.0,0.0,0.0,0.0,2083.724395275155
27,3.1999999999999993,single,238179.43246672908,0.855735695886284,62.55390315342281,0.0,0.0,0.0,0.0,2282.51239579564
