distributed_total_cap_gw,dist_lmp_mean_of_node_time_max,dc_vec_sum_gw,dc_vec_min_gw,dc_vec_max_gw,dc_capacity_vector_gw_json
1.0,0.5429799746139741,1.0,0.0,0.2,"[0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2, 0.2]"
1.1,0.5454859959511789,1.1000000000000005,4.85722573273506e-17,0.22000000000000006,"[4.85722573273506e-17, 4.85722573273506e-17, 0.22000000000000006, 4.85722573273506e-17, 4.85722573273506e-17, 4.85722573273506e-17, 0.22000000000000006, 0.22000000000000006, 0.22000000000000006, 0.22000000000000006]"
1.2,0.5747179511255072,1.1999999999999997,0.017931809645110076,0.2579318096451101,"[0.017931809645110076, 0.017931809645110076, 0.2579318096451101, 0.017931809645110076, 0.017931809645110076, 0.017931809645110076, 0.24262470570275832, 0.2068514346270221, 0.14500119215444882, 0.2579318096451101]"
1.3,0.5774944931033597,1.3000000000000005,2.7755575615628914e-17,0.26000000000000006,"[2.7755575615628914e-17, 2.7755575615628914e-17, 0.26000000000000006, 2.7755575615628914e-17, 2.7755575615628914e-17, 2.7755575615628914e-17, 0.26000000000000006, 0.26000000000000006, 0.26000000000000006, 0.26000000000000006]"
1.4,0.5903295331640307,1.4000000000000004,0.0,0.2800000000000001,"[0.0, 0.0, 0.2800000000000001, 0.0, 0.0, 0.0, 0.2800000000000001, 0.2800000000000001, 0.2800000000000001, 0.2800000000000001]"
1.5,0.6643434963713921,1.5000000000000004,0.026336794038203992,0.3263367940382041,"[0.026336794038203992, 0.026336794038203992, 0.3263367940382041, 0.026336794038203992, 0.026336794038203992, 0.026336794038203992, 0.3263367940382041, 0.23880832183167117, 0.1504973258626972, 0.3263367940382041]"
1.6,0.6699409199849831,1.6000000000000003,0.0,0.32000000000000006,"[0.0, 0.0, 0.32000000000000006, 0.0, 0.0, 0.0, 0.32000000000000006, 0.32000000000000006, 0.32000000000000006, 0.32000000000000006]"
1.7,0.7162048416943139,1.7000000000000006,0.038947249409340336,0.37894724940934044,"[0.038947249409340336, 0.038947249409340336, 0.37894724940934044, 0.038947249409340336, 0.038947249409340336, 0.038947249409340336, 0.27654429410807757, 0.24755320285679092, 0.22327175716974948, 0.37894724940934044]"
1.8,0.7288997179007504,1.8000000000000016,9.71445146547012e-17,0.3600000000000002,"[9.71445146547012e-17, 9.71445146547012e-17, 0.3600000000000002, 9.71445146547012e-17, 9.71445146547012e-17, 9.71445146547012e-17, 0.3600000000000002, 0.3600000000000002, 0.3600000000000002, 0.3600000000000002]"
1.9,1.5425333820618738,1.900000000000001,2.7755575615628914e-17,0.38000000000000017,"[2.7755575615628914e-17, 2.7755575615628914e-17, 0.38000000000000017, 2.7755575615628914e-17, 2.7755575615628914e-17, 2.7755575615628914e-17, 0.38000000000000017, 0.38000000000000017, 0.38000000000000017, 0.38000000000000017]"
2.0,2.431581665235894,2.000000000000001,0.04455103313290563,0.4445510331329058,"[0.04455103313290563, 0.04455103313290563, 0.4445510331329058, 0.04455103313290563, 0.04455103313290563, 0.04455103313290563, 0.4445510331329058, 0.27123577588753917, 0.17235595904921616, 0.4445510331329058]"
2.1,4.358802862745963,2.1000000000000005,0.0,0.4051477687508776,"[0.0, 0.0, 0.35307004010029586, 0.2102058249380347, 0.4051477687508776, 0.34598034126490446, 0.25577957504265, 0.12695365305813316, 0.09650926464470985, 0.306353532200395]"
2.2,2.723376637027353,2.200000000000002,0.0336158563922663,0.4736158563922665,"[0.0336158563922663, 0.0336158563922663, 0.4736158563922665, 0.0336158563922663, 0.0336158563922663, 0.0336158563922663, 0.4736158563922665, 0.3850088748398917, 0.22606427402197932, 0.4736158563922665]"
2.3,4.311466029386438,2.300000000000001,0.11375000113604353,0.38968083159394984,"[0.11718232410246535, 0.11375000113604353, 0.1703625911921904, 0.24759517172244563, 0.38968083159394984, 0.35847508667672684, 0.14018061946027818, 0.364941861283855, 0.2671436408767613, 0.13068787195528492]"
2.4,4.312359622433089,2.4000000000000012,0.11726371286979735,0.436695828952124,"[0.11726371286979735, 0.11726371286979735, 0.1747023857967373, 0.3678415311810153, 0.36100517826274897, 0.3816012138304513, 0.1194566043245121, 0.17864200528680044, 0.436695828952124, 0.14552782662601707]"
2.5,4.318241623719325,2.5000000000000018,0.08629459732069168,0.5862945973206919,"[0.08629459732069168, 0.08629459732069168, 0.5862945973206919, 0.08629459732069168, 0.08629459732069168, 0.08629459732069168, 0.5842026289526017, 0.17047859901879353, 0.14125659078376446, 0.5862945973206919]"
2.6,4.312437954921325,2.6000000000000014,0.12882811895756718,0.3647331639874035,"[0.1831848054217446, 0.12882811895756718, 0.3647331639874035, 0.21422858077497084, 0.2525324355949662, 0.255954980170545, 0.33213055701937066, 0.29188806609846873, 0.2704496278341168, 0.30606966414084763]"
2.7,4.312460632520289,2.700000000000001,0.12935262748184193,0.38243021018081996,"[0.12935262748184193, 0.13258361739471283, 0.38243021018081996, 0.22295411043121932, 0.25123746905692645, 0.2613153908511685, 0.3489296367603228, 0.31633211721791854, 0.29981395593341664, 0.3550508646916543]"
2.8,4.312433413056614,2.8000000000000016,0.13143827425834445,0.6460825931081471,"[0.13143827425834445, 0.13143827425834445, 0.13609025548163942, 0.13143827425834445, 0.13143827425834445, 0.13143827425834445, 0.13656314422185287, 0.623101491281412, 0.6009711446152275, 0.6460825931081471]"
2.9,4.312455335702886,2.900000000000002,0.13643561397271178,0.5647456828845551,"[0.13643561397271178, 0.13643561397271178, 0.3954288543892784, 0.13643561397271178, 0.13643561397271178, 0.13643561397271178, 0.23398100322226462, 0.5092637459504137, 0.5144026436899316, 0.5647456828845551]"
3.0,4.38176625953133,3.000000000000002,0.1243842060563832,0.5028816401343044,"[0.1243842060563832, 0.1243842060563832, 0.1243842060563832, 0.20204232928731913, 0.4221991587498517, 0.4409228179585839, 0.1243842060563832, 0.5001772436076355, 0.5028816401343044, 0.4342399860367751]"
3.1,4.543990617286542,3.100000000000002,0.15310268322338474,0.43488332421223225,"[0.15310268322338474, 0.15310268322338474, 0.37577931369291595, 0.3371748204025499, 0.3206865618837139, 0.3413070463756317, 0.15347531662224326, 0.4297250671280179, 0.40076318323592725, 0.43488332421223225]"
3.2,4.859985933750406,3.2000000000000024,0.16007940905920515,0.4785206273857687,"[0.45921797347068816, 0.16600823004006426, 0.4586899684082401, 0.4658734542749561, 0.4648300014086654, 0.4785206273857687, 0.18675005731125088, 0.16098537327011267, 0.16007940905920515, 0.1990449053710507]"
3.3,4.544135602986738,3.300000000000002,0.15677837198250322,0.4344132901318793,"[0.4266717980460956, 0.15677837198250322, 0.15677837198250322, 0.4344132901318793, 0.4130813084191472, 0.40027822338685737, 0.15677837198250322, 0.38260978995278105, 0.3901729513093551, 0.3824375228063773]"
3.4,4.544024871677416,3.400000000000003,0.147924555592129,0.6946851978918462,"[0.147924555592129, 0.147924555592129, 0.47519720469336435, 0.147924555592129, 0.147924555592129, 0.147924555592129, 0.147924555592129, 0.6762690071068255, 0.666301256755193, 0.6946851978918462]"
3.5,4.611345563944095,3.5000000000000018,0.11930577938087256,0.8193057793808729,"[0.14154055870564475, 0.3056672857315742, 0.11930577938087256, 0.11930577938087256, 0.11930577938087256, 0.15590616810802865, 0.5061290222571238, 0.6599960414486988, 0.5535378062254412, 0.8193057793808729]"
3.6,4.6110157840567805,3.6000000000000023,0.15711924632677907,0.7197474545669207,"[0.15711924632677907, 0.15711924632677907, 0.15711924632677907, 0.15711924632677907, 0.15711924632677907, 0.15711924632677907, 0.5475734171034533, 0.6976441338796143, 0.692319516489339, 0.7197474545669207]"
3.7,4.960297823394001,3.7000000000000024,0.12740827324274584,0.7881450226116075,"[0.12740827324274584, 0.12740827324274584, 0.42756258952899134, 0.12740827324274584, 0.12740827324274584, 0.12740827324274584, 0.6811522737284088, 0.6397024645403105, 0.5263962833769551, 0.7881450226116075]"
3.8,4.932971856168917,3.800000000000003,0.17034639970153273,0.7586295645232934,"[0.17034639970153273, 0.7586295645232934, 0.3013700068112625, 0.19634455512511187, 0.3691505829965547, 0.3471385255134092, 0.6621792467557852, 0.36504140600034124, 0.3500648030002966, 0.279734909572415]"
