budget_gw,post_tx_lmp,post_tx_dispatch_cost,tx_inv_cost_raw,tx_added_sum
1.0,0.5099052727139043,2264.301784126671,19.749076430937528,8.1596351077884
1.1,0.49231092286848777,2264.550980320605,23.01918666141172,9.253561428633322
1.2,0.5117348687796653,2268.371050193572,25.895291901353794,10.532162800945692
1.3,0.49517186581874184,2269.1322452522295,23.14831136195995,9.41388552117169
1.4,0.5477579861932493,2274.2043721859377,20.947936352419383,7.891453263741474
1.5,0.5404430980798618,2275.95653601376,20.91407695664497,8.953094321293996
1.6,0.5218075803996935,2275.9250802361616,20.883522564892196,8.446006356264174
1.7,0.5300589140136838,2278.0496554061697,21.511128036905994,8.016016099815989
1.8,0.5298640615609261,2280.7792290725547,22.46397424081562,8.932271238607767
1.9,0.529895283221101,2282.993274920985,21.213610546469628,8.182582190470145
2.0,0.5342968263613482,2285.0664715234707,23.589165827924063,9.366361223831392
2.1,2.896151327095354,2297.5172771111274,22.656332608660815,8.409714994307198
2.2,0.5466765149922136,2289.4486460784406,22.28347499151416,8.361002162233403
2.3,0.6646602694807009,2293.4250164081104,22.04751696729186,7.55390892078088
2.4,2.4688387131809364,2300.1583330970825,20.434069601922957,7.4235137082502405
2.5,0.5630706624797448,2295.6422372617267,20.71993020390397,6.910985499446772
2.6,2.590016533935079,2303.6905016237333,21.831891485911868,7.983965098279604
2.7,2.3985132144289634,2305.746362234258,20.599104736042435,6.947206979003566
2.8,0.7397309837459707,2303.816560911421,25.494644510584834,9.358341100727376
2.9,2.6434216014627743,2311.6256993248717,21.268912756144633,7.459407318739203
3.0,4.275459493965363,2334.285802524367,23.188863876062005,8.65367188403657
3.1,4.3071065796901955,2335.763494455151,22.579249069933333,8.260407003489798
3.2,4.439339170648456,2337.918881132607,22.255131355179728,9.052933871555052
3.3,4.481696823787281,2360.4327428207325,17.840788623505073,5.7379215947941695
3.4,4.315312582765361,2349.1674101464246,18.404737743169722,6.329326490414612
3.5,4.497720532679536,2346.3536216054395,18.202629357495706,6.206600152831317
3.6,4.471497254083618,2365.8314402832134,17.14252353633188,5.589195206185659
3.7,4.49999723946927,2364.793145044186,21.056845296524806,7.370264333696613
3.8,4.574087720086044,2395.7378348009906,21.354150694031944,7.5130101850439495
3.9,5.5564614462974085,2385.16629627291,25.551280529347366,10.087082742727238
4.0,4.897561924473232,2404.0247322282385,21.329600657764338,7.689256519998371
4.1,4.596023190405367,2402.4344480465047,22.26666304378261,8.540467957679404
4.2,5.899921150808742,2380.2618705883465,23.703969053855854,9.9563626789312
4.3,5.830237808186275,2429.1182977708477,23.486337375210717,9.793111482256283
4.4,5.120167844235601,2426.653319911157,22.915136223388185,9.832517884350906
4.5,5.056628274513578,2424.6067543837376,22.762496538887785,9.632521826919055
4.6,5.7796856153542056,2430.7869167798535,21.391129305389754,9.056929397727407
4.7,7.228231910520894,2470.583717289831,24.654498067157157,10.003297597892548
4.8,6.370244652533744,2470.757923815989,21.85649742281286,8.290279073151108
4.9,6.553271492511593,2486.100710423467,25.19676209545222,10.009647746056165
5.0,7.282002425487416,2533.1299017141923,24.395623066040486,10.14866919788954
5.1,6.562759552261187,2477.9665869132905,23.630471128166484,9.719205132400017
5.2,6.475180906668757,2527.8948191732507,22.10916401362553,8.144418436584331
5.3,7.022306900117849,2512.1958647258675,25.360836400701672,9.98305281915125
5.4,6.384931190132197,2515.101883424012,23.271558317982468,9.114370121176924
5.5,6.573241869327737,2498.606344345234,23.566475090525635,9.5336437119357
5.6,7.245788406195996,2545.981045956297,24.255019254365774,9.7301470988901
5.7,7.282431761297006,2579.2999923553057,26.020147899829773,10.881125821228737
5.8,7.253091662112874,2570.5947899915795,24.264369776127786,9.827829869075334
5.9,7.259572054905384,2586.519814840074,22.72295953115246,9.151096195439042
6.0,7.256232722089938,2602.1541399596967,22.919249384532733,9.415704540461189
6.1,7.631369739767938,2644.8329801662644,20.675657443545454,7.406445364867868
6.2,7.3916921808752285,2583.0177294810355,22.745632448196176,8.969508831162003
6.3,7.675524389518304,2644.023029591278,24.42629451486531,9.887294683708053
6.4,7.303867362939362,2590.1093168984885,22.351193774165544,9.203317339355124
6.5,7.7062217887925,2660.1325387166003,23.012518404056785,9.36567861004751
6.6,7.777741977613795,2687.8710214866232,22.72657991273286,9.515328385760023
6.7,7.7843664565261035,2711.508266644865,20.503577285065717,7.7399562963971125
6.8,7.663177377997225,2711.780505624126,21.48391530195075,8.055906093087557
6.9,7.519386230614023,2665.4879801455622,23.21763675535123,9.205120514662575
7.0,7.804223882317525,2726.878559006238,20.6854546865007,8.083681722034509
