timestamp_s,watts,timestamp_hr
0,0.7738211613147674,0.0
900,0.7716406175996969,0.25
1800,0.7704679359666572,0.5
2700,0.7694240788102681,0.75
3600,0.7681860377001042,1.0
4500,0.7668381168892677,1.25
5400,0.7647428246660982,1.5
6300,0.7644899119067917,1.75
7200,0.7621981468282252,2.0
8100,0.7630163934426228,2.25
9000,0.7616412449512948,2.5
9900,0.7615148491328106,2.75
10800,0.7603296391020176,3.0
11700,0.7601477692526285,3.25
12600,0.7580079568059107,3.5
13500,0.756797385620915,3.75
14400,0.7548223927252059,4.0
15300,0.7547380884721038,4.25
16200,0.7530368475892772,4.5
17100,0.7513270815572606,4.75
18000,0.7499715828360329,5.0
18900,0.7491209623946197,5.25
19800,0.7492971488112153,5.5
20700,0.7477209434498436,5.75
21600,0.7479568059107701,6.0
22500,0.7461523159988632,6.25
23400,0.7459353983139149,6.5
24300,0.7467263427109972,6.75
25200,0.749539641943734,7.0
26100,0.7482428720280383,7.25
27000,0.7520564554324145,7.5
27900,0.7536108743014114,7.75
28800,0.7563720754002083,8.0
29700,0.7596182627640429,8.25
30600,0.7633579615421048,8.5
31500,0.7648081841432224,8.75
32400,0.7680373212086767,9.0
33300,0.7700539926115373,9.25
34200,0.7701780808941934,9.5
35100,0.773029269678886,9.75
36000,0.7732509235578288,10.0
36900,0.7744757033248082,10.25
37800,0.7738476840011367,10.5
38700,0.774860282277162,10.75
39600,0.7755100880932083,11.0
40500,0.7753433740646015,11.25
41400,0.7779132329260205,11.5
42300,0.7775854883016008,11.75
43200,0.7782371885952449,12.0
44100,0.7795870038836791,12.25
45000,0.7782400303116416,12.5
45900,0.7791512740361844,12.75
46800,0.77974992895709,13.0
47700,0.7797575068674812,13.25
48600,0.7796845694799659,13.5
49500,0.7808922989485649,13.75
50400,0.7801866060433835,14.0
51300,0.7774386662877711,14.25
52200,0.7804897224590319,14.5
53100,0.782567964383821,14.75
54000,0.7824230368475892,15.0
54900,0.783124940797575,15.25
55800,0.7830472672160651,15.5
56700,0.7845268542199488,15.75
57600,0.7864971109216633,16.0
58500,0.7858169934640523,16.25
59400,0.7847882921284455,16.5
60300,0.7870862934545799,16.75
61200,0.7856976413753907,17.0
62100,0.7850402576489531,17.25
63000,0.7838069527327839,17.5
63900,0.7835900350478355,17.75
64800,0.7819929904328881,18.0
65700,0.7822468504309936,18.25
66600,0.781735341479587,18.5
67500,0.7825092355782892,18.75
68400,0.7800094723879889,19.0
69300,0.7800426257459504,19.25
70200,0.7816084114805342,19.5
71100,0.780535189921379,19.75
72000,0.7813744434972056,20.0
72900,0.7834024817656531,20.25
73800,0.781956048119731,20.5
74700,0.7798778061949417,20.75
75600,0.7808193615610496,21.0
76500,0.7819702567017145,21.25
77400,0.781159420289855,21.5
78300,0.7800018944775978,21.75
79200,0.7809093492469451,22.0
80100,0.7807596855167188,22.25
81000,0.7803144832812352,22.5
81900,0.7803845789523539,22.75
82800,0.776260301221938,23.0
83700,0.7749824760822203,23.25
84600,0.7757743677181016,23.5
85500,0.7752808563038742,23.75
86400,0.7752808563038742,24.0
