timestamp_s,timestamp_hr,watts
0,0,0.45473723817885364
900,0.25,0.45473723817885364
1800,0.5,0.45473723817885364
2700,0.75,0.45473723817885364
3600,1,0.45473723817885364
4500,1.25,0.44835423721727496
5400,1.5,0.44197123625569634
6300,1.75,0.43558823529411766
7200,2,0.429205234
8100,2.25,0.42282223337096037
9000,2.5,0.4164392324093817
9900,2.75,0.410056231
10800,3,0.4036732304862244
11700,3.25,0.3972902295246457
12600,3.5,0.39090722856306703
13500,3.75,0.3845242276014884
14400,4,0.37814122663990973
15300,4.25,0.37175822567833106
16200,4.5,0.36537522471675243
17100,4.75,0.35899222375517376
18000,5,0.3526092227935951
18900,5.25,0.34622622183201646
19800,5.5,0.3398432208704378
20700,5.75,0.3464148231049022
21600,6,0.3529864253393666
22500,6.25,0.35955802757383093
23400,6.5,0.36612962980829533
24300,6.75,0.37270123204275973
25200,7,0.37927283427722414
26100,7.25,0.3858444365116885
27000,7.5,0.3924160387461529
27900,7.75,0.3989876409806173
28800,8,0.4055592432150817
29700,8.25,0.41213084544954603
30600,8.5,0.41870244768401044
31500,8.75,0.42527404991847484
32400,9,0.42527404991847484
33300,9.25,0.42527404991847484
34200,9.5,0.42527404991847484
35100,9.75,0.42527404991847484
36000,10,0.42527404991847484
36900,10.25,0.42527404991847484
37800,10.5,0.42527404991847484
38700,10.75,0.42527404991847484
39600,11,0.42527404991847484
40500,11.25,0.42527404991847484
41400,11.5,0.42527404991847484
42300,11.75,0.42527404991847484
43200,12,0.42527404991847484
44100,12.25,0.42527404991847484
45000,12.5,0.42527404991847484
45900,12.75,0.42527404991847484
46800,13,0.42527404991847484
47700,13.25,0.42527404991847484
48600,13.5,0.42527404991847484
49500,13.75,0.42527404991847484
50400,14,0.42527404991847484
51300,14.25,0.42527404991847484
52200,14.5,0.42527404991847484
53100,14.75,0.42527404991847484
54000,15,0.42527404991847484
54900,15.25,0.42527404991847484
55800,15.5,0.42527404991847484
56700,15.75,0.42527404991847484
57600,16,0.42527404991847484
58500,16.25,0.42527404991847484
59400,16.5,0.42527404991847484
60300,16.75,0.42527404991847484
61200,17,0.42527404991847484
62100,17.25,0.42527404991847484
63000,17.5,0.42527404991847484
63900,17.75,0.42527404991847484
64800,18,0.42527404991847484
65700,18.25,0.42527404991847484
66600,18.5,0.42527404991847484
67500,18.75,0.42527404991847484
68400,19,0.42527404991847484
69300,19.25,0.42527404991847484
70200,19.5,0.42527404991847484
71100,19.75,0.42527404991847484
72000,20,0.42527404991847484
72900,20.25,0.42527404991847484
73800,20.5,0.42527404991847484
74700,20.75,0.42527404991847484
75600,21,0.42527404991847484
76500,21.25,0.42527404991847484
77400,21.5,0.42527404991847484
78300,21.75,0.42527404991847484
79200,22,0.42527404991847484
80100,22.25,0.42527404991847484
81000,22.5,0.42527404991847484
81900,22.75,0.42527404991847484
82800,23,0.42527404991847484
83700,23.25,0.42527404991847484
84600,23.5,0.42527404991847484
85500,23.75,0.42527404991847484
86400,24,0.42527404991847484
