timestamp_s,timestamp_hr,watts
0,0.0,0.5860700824499411
900,0.25,0.5757673733804476
1800,0.5,0.499505300353357
2700,0.75,0.5481802120141344
3600,1.0,0.5968551236749117
4500,1.25,0.5570488810365136
5400,1.5,0.5267785630153121
6300,1.75,0.48374911660777387
7200,2.0,0.6724852767962307
8100,2.25,0.5808951707891638
9000,2.5,0.5316760895170789
9900,2.75,0.5545612485276796
10800,3.0,0.4997025912838634
11700,3.25,0.5902332155477031
12600,3.5,0.5574281507656066
13500,3.75,0.5693692579505301
14400,4.0,0.5231466431095406
15300,4.25,0.6124063604240283
16200,4.5,0.579575382803298
17100,4.75,0.5006260306242638
18000,5.0,0.5716902237926973
18900,5.25,0.5732720848056537
19800,5.5,0.5353669022379269
20700,5.75,0.48916077738515895
21600,6.0,0.6019440518256772
22500,6.25,0.6247832744405182
23400,6.5,0.5365394581861013
24300,6.75,0.557002355712603
25200,7.0,0.5481077738515902
26100,7.25,0.6226207302709069
27000,7.5,0.543057714958775
27900,7.75,0.643424617196702
28800,8.0,0.5494552414605418
29700,8.25,0.5642314487632509
30600,8.5,0.5315706713780919
31500,8.75,0.5622343934040047
32400,9.0,0.5791295641931685
33300,9.25,0.5442373380447586
34200,9.5,0.5399434628975265
35100,9.75,0.5508244994110719
36000,10.0,0.552530035335689
36900,10.25,0.5264293286219082
37800,10.5,0.5653898704358068
38700,10.75,0.5987997644287397
39600,11.0,0.5412985865724381
40500,11.25,0.5436601884570083
41400,11.5,0.5661660777385159
42300,11.75,0.5318951707891637
43200,12.0,0.6029352179034159
44100,12.25,0.5581383981154299
45000,12.5,0.5425253239104829
45900,12.75,0.5580294464075383
46800,13.0,0.5273875147232038
47700,13.25,0.5479564193168434
48600,13.5,0.6129634864546525
49500,13.75,0.5713003533568904
50400,14.0,0.5268786808009422
51300,14.25,0.548894581861013
52200,14.5,0.5531542991755006
53100,14.75,0.5852479387514724
54000,15.0,0.570979976442874
54900,15.25,0.5617008244994111
55800,15.5,0.5105359246171967
56700,15.75,0.5623674911660778
57600,16.0,0.5214958775029447
58500,16.25,0.5208021201413428
59400,16.5,0.560148409893993
60300,16.75,0.5538633686690224
61200,17.0,0.5615706713780918
62100,17.25,0.5336071849234394
63000,17.5,0.5233686690223792
63900,17.75,0.5764687868080094
64800,18.0,0.5421495877502944
65700,18.25,0.5249522968197881
66600,18.5,0.5707332155477032
67500,18.75,0.549469964664311
68400,19.0,0.5236048292108363
69300,19.25,0.6091931684334512
70200,19.5,0.5594723203769141
71100,19.75,0.5676030624263839
72000,20.0,0.5794905771495877
72900,20.25,0.5575164899882215
73800,20.5,0.5196772673733805
74700,20.75,0.54674617196702
75600,21.0,0.5385759717314488
76500,21.25,0.5167962308598351
77400,21.5,0.5505347467608952
78300,21.75,0.533849234393404
79200,22.0,0.4721295641931684
80100,22.25,0.534190812720848
81000,22.5,0.5692467608951708
81900,22.75,0.5478021201413428
82800,23.0,0.5503319591676482
83700,23.25,0.5528617981939538
84600,23.5,0.5553916372202592
85500,23.75,0.559540047114252
