timestamp_s,timestamp_hr,watts
0,0,0.3987981518606691
900,0.25,0.4005775030106723
1800,0.5,0.3987022300410489
2700,0.75,0.3967642421239522
3600,1,0.3981396015525001
4500,1.25,0.39757839873759393
5400,1.5,0.3975461716706116
6300,1.75,0.39590448900549724
7200,2,0.3961046753623188
8100,2.25,0.3963866439572236
9000,2.5,0.39645819567293716
9900,2.75,0.39538302520659446
10800,3,0.3949861781609195
11700,3.25,0.3914656509352161
12600,3.5,0.3940697505413959
13500,3.75,0.39200035190737964
14400,4,0.39139338705647175
15300,4.25,0.3888793785870597
16200,4.5,0.39127469171483625
17100,4.75,0.3888568099378882
18000,5,0.3922190511191396
18900,5.25,0.3899175879917184
19800,5.5,0.3910436144927536
20700,5.75,0.3902859304015614
21600,6,0.3895675612193903
22500,6.25,0.3889092753623189
23400,6.5,0.3867811515752095
24300,6.75,0.3861825380899294
25200,7,0.38873412773555915
26100,7.25,0.3867700795435615
27000,7.5,0.3861829068798933
27900,7.75,0.38684175917804786
28800,8,0.38759558538122235
29700,8.25,0.3872379751910788
30600,8.5,0.38981226332740065
31500,8.75,0.388662376
32400,9,0.3901875081678814
33300,9.25,0.3897422085787077
34200,9.5,0.38912096534341517
35100,9.75,0.38701843369981676
36000,10,0.3872907719609583
36900,10.25,0.3867254613245703
37800,10.5,0.3898604204166138
38700,10.75,0.38798289061521113
39600,11,0.3891509704587234
40500,11.25,0.3889319672337744
41400,11.5,0.38693215363163896
42300,11.75,0.3861325719416948
43200,12,0.38524587186233966
44100,12.25,0.3852848827176007
45000,12.5,0.3863705986137365
45900,12.75,0.3883458223062381
46800,13,0.3873250387596899
47700,13.25,0.38909420038535636
48600,13.5,0.38991874521072795
49500,13.75,0.39159468958930277
50400,14,0.39110924310965905
51300,14.25,0.39402630995390553
52200,14.5,0.39375969192546584
53100,14.75,0.3932199825588638
54000,15,0.39419329323810715
54900,15.25,0.3953790619160334
55800,15.5,0.3997443670939097
56700,15.75,0.39651591477765386
57600,16,0.40004170539730133
58500,16.25,0.3979841953806958
59400,16.5,0.39799288472815614
60300,16.75,0.39863532670807456
61200,17,0.3995876753121998
62100,17.25,0.39775055658780295
63000,17.5,0.40143156015115644
63900,17.75,0.39976366263859475
64800,18,0.39971976402288767
65700,18.25,0.40203771594202903
66600,18.5,0.4027964201232716
67500,18.75,0.40242944554865423
68400,19,0.4054964270925761
69300,19.25,0.40245529708080435
70200,19.5,0.4047096104812923
71100,19.75,0.4036630447276362
72000,20,0.4064096850129848
72900,20.25,0.40599516200233216
73800,20.5,0.40378874298399936
74700,20.75,0.40293147792865747
75600,21,0.40320059987397605
76500,21.25,0.4048964591472379
77400,21.5,0.4037815421130014
78300,21.75,0.4043218590704648
79200,22,0.40461654880892883
80100,22.25,0.4018106490594244
81000,22.5,0.40018791379526375
81900,22.75,0.3988768842656036
82800,23,0.40162322789329974
83700,23.25,0.3986191950817594
84600,23.5,0.40012449275362316
85500,23.75,0.3968330634109879
86400,24,0.3968330634109879
