,Provisioned Capacity (GW),Expansion Descriptor,Dispatch Cost ($/day),Congestion Metric,DC Investment Cost ($/yr),Transmission Cost ($/yr),Transmission Added (MW),Generation Cost ($/yr),Generation Added (MW),LMP Max ($)
0,2.25,single,229647.16246092436,0.33244060768408135,43.98321315475043,0.0,0.0,0.0,0.0,984.8340056500108
1,2.35,single,230003.62176809172,0.3344860442229293,45.93802262829489,0.0,0.0,0.0,0.0,993.3665684656683
2,2.45,single,230367.89123073244,0.3618655764191885,47.89283210183935,0.0,0.0,0.0,0.0,1082.4479046391878
3,2.5500000000000003,single,230743.7563728635,0.3740054100282037,49.84764157538382,0.0,0.0,0.0,0.0,1114.9361085547314
4,2.6500000000000004,single,231135.72885351477,0.6461575967766712,51.80245104892829,0.0,0.0,0.0,0.0,1737.855847704187
5,2.7500000000000004,single,231625.50772447203,0.6456312408271814,53.75726052247275,0.0,0.0,0.0,0.0,1737.7381579800472
6,2.8500000000000005,single,232117.6429859883,0.6406215973796227,55.71206999601722,0.0,0.0,0.0,0.0,1742.3473648536883
7,2.9500000000000006,single,232612.66530755247,0.6406863759838423,57.666879469561685,0.0,0.0,0.0,0.0,1742.188856545723
8,3.0500000000000007,single,233112.24393223287,0.6437313922250806,59.62168894310616,0.0,0.0,0.0,0.0,1752.6873026433937
9,3.150000000000001,single,233615.76217509442,0.6449977726641993,61.576498416650615,0.0,0.0,0.0,0.0,1754.521597607792
10,3.250000000000001,single,234134.58529374315,0.6598158378003743,63.53130789019509,0.0,0.0,0.0,0.0,1759.662786175707
11,3.350000000000001,single,234714.81081608628,0.6573806819903254,65.48611736373955,0.0,0.0,0.0,0.0,1748.3881041253665
12,3.450000000000001,single,235317.50511302816,0.6466052126472893,67.44092683728401,0.0,0.0,0.0,0.0,1754.6961734506986
13,3.550000000000001,single,235926.98416599384,0.6470555443155591,69.39573631082848,0.0,0.0,0.0,0.0,1755.7010664373358
14,3.6500000000000012,single,236538.1583156353,0.6460026576232734,71.35054578437294,0.0,0.0,0.0,0.0,1756.5121669385474
15,3.7500000000000013,single,237152.23141618996,0.6505472129093899,73.3053552579174,0.0,0.0,0.0,0.0,1766.5073473616758
16,3.8500000000000014,single,237778.4138467251,0.6844843708777463,75.26016473146187,0.0,0.0,0.0,0.0,1824.5988370868347
17,3.9500000000000015,single,238412.3497140374,0.6844843332060635,77.21497420500633,0.0,0.0,0.0,0.0,1824.598907195606
18,4.050000000000002,single,239047.77408013144,0.6834715849860297,79.1697836785508,0.0,0.0,0.0,0.0,1825.237821549177
19,4.150000000000002,single,239691.91175087626,0.7106599061457047,81.12459315209527,0.0,0.0,0.0,0.0,1898.1461780233217
20,4.250000000000002,single,240382.24358718548,0.7139694130838672,83.07940262563973,0.0,0.0,0.0,0.0,1902.6951017549998
21,4.350000000000001,single,241081.01761724075,0.7125554104556746,85.03421209918417,0.0,0.0,0.0,0.0,1898.0052432752384
22,4.450000000000002,single,241796.69236678764,0.7162645783479887,86.98902157272866,0.0,0.0,0.0,0.0,1905.1230753170291
23,4.5500000000000025,single,242576.45715476264,0.7252859936962963,88.94383104627313,0.0,0.0,0.0,0.0,1913.9271007796192
24,4.650000000000002,single,243383.052766605,0.729998996091261,90.89864051981759,0.0,0.0,0.0,0.0,1922.328771434181
25,4.750000000000002,single,244202.58417163164,0.7399030569367638,92.85344999336205,0.0,0.0,0.0,0.0,1935.8123794377445
26,4.850000000000002,single,245068.93905402865,0.7770041375414836,94.80825946690652,0.0,0.0,0.0,0.0,2029.1228574251918
27,4.950000000000003,single,246011.8880067538,0.8099722211597827,96.76306894045098,0.0,0.0,0.0,0.0,2117.9833087431753
28,5.0500000000000025,single,246959.96478635087,0.8109324323914193,98.71787841399545,0.0,0.0,0.0,0.0,2120.3761241999873
29,5.150000000000002,single,247966.14521867805,0.8340943442403982,100.67268788753992,0.0,0.0,0.0,0.0,2123.986856454778
