,terminal,capacity (GW),inj_max_lmp,inj_mean_lmp,sys_mean_lmp,sys_p95_nodes_mean_t,sys_max_lmp,sys_spread_mean,d_sys_mean,d_sys_p95,d_sys_max,d_inj_max,d_inj_mean
0,0,1.99,0.5092603213760623,0.3472868981119553,0.3325915458691576,0.35605979062464294,0.6169453079412244,0.1589053869900285,0.013754401374135916,0.017306305951841183,0.13265982155343803,0.1011484917357921,0.019007814506878218
1,0,3.08,3.098239231358723,0.6789242058203336,0.5874789932169845,0.7064657369136446,10.000000104938762,1.0861849941639126,0.2686418487219628,0.3677122522408428,9.515714618550975,2.6901274017184527,0.35064512221525657
2,0,0.19,0.4136587422631964,0.32954452318858357,0.3197243793940468,0.3398411484057915,0.49293769996254305,0.13401776753650954,0.0008872348990250911,0.001087663732989741,0.008652213574756706,0.0055469126229262256,0.0012654395835065002
3,0,3.92,9.201556067443272,1.4510803427112202,1.1727161961006638,1.5248757138401103,11.112537160182947,1.4861509157009314,0.853879051605642,1.1861222291673086,10.62825167379516,8.793444237803001,1.1228012591061431
4,0,3.26,8.765753380713287,1.3913302756688235,1.1301783666020362,1.4561871610186874,22.66475803701287,1.9088313960684424,0.8113412221070144,1.1174336763458856,22.180472550625083,8.357641551073016,1.0630511920637464
5,0,3.85,9.201260924427626,1.4508944798000474,1.172670647035577,1.5246935763688498,11.112204113617505,1.4856257942345996,0.8538335025405552,1.185940091696048,10.627918627229718,8.793149094787356,1.1226153961949703
6,0,3.7,9.201982116739325,1.4502302550542883,1.1722132434780144,1.52402440159946,11.111418692000868,1.484261671122508,0.8533760989829926,1.1852709169266582,10.627133205613081,8.793870287099054,1.1219511714492112
7,0,3.55,9.20009150983545,1.4469340153338106,1.1699247502157522,1.5203480196194785,11.11347659032313,1.4764271796638984,0.8510876057207304,1.1815945349466768,10.629191103935343,8.79197968019518,1.1186549317287335
8,0,2.22,0.5516656040665197,0.3540339481098778,0.3378755669686479,0.3629873323244483,0.6814534786675548,0.16986594856022316,0.019038422473626193,0.024233847651646545,0.19716799227976844,0.1435537744262495,0.025754864504800745
9,0,0.41,0.42144661886691026,0.33115152215644744,0.3209515989749493,0.34108289005233766,0.5050852368763014,0.1344927096564166,0.0021144544799275855,0.0023294053795359093,0.020799750488515012,0.013334789226640109,0.002872438551370371
